Product ID,Title,Author/SKU,ISBN/Barcode,Inventory,Unfulfilled Qty,Collections,Backorder Status
gid://shopify/Product/5238811525253,Magazine F: Vinegar Issue 7,Magazine F Editors,MAG F 7,-1,1,Periodicals,backorder
gid://shopify/Product/5238828302469,One Day at Geranium Restaurant,Bent Christensen,9788799562190,-3,3,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",backorder
gid://shopify/Product/5238833676421,Perfection Salad: Women and Cooking at the Turn of the Century,Laura Shapiro,9780520257382,-1,1,Food History and Scholarship Books,backorder
gid://shopify/Product/5238857171077,"Sweet + Salty: The Art of Vegan Chocolates, Truffles, Caramels, and More from Lagusta's Luscious",Lagusta Yearwood,9780738235073,-1,1,Vegan and Vegetarian Cookbooks,backorder
gid://shopify/Product/5238904750213,Marine Et Vegetale,Alexandre Couillon,9782352552680,-2,2,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",backorder
gid://shopify/Product/6628131242117,Sourdough Baking: A Treatise,Thomas Teffri-Chambelland,9782957261154,-1,1,Professional Baking and Pastry Cookbooks,backorder
gid://shopify/Product/6827286921349,Identidad Zapoteca: La cocina de Abigail Mendoza Ruiz y sus hermanas,Claudia Espinoza,,-1,1,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",backorder
gid://shopify/Product/6829773422725,We Are What We Eat: A Slow Food Manifesto (paperback),Alice Waters with Bob Carrau and Cristina Mueller,9780525561552,0,100,"Good Reads, Signed Books",pending_fulfillment
gid://shopify/Product/6858485203077,A Ukrainian Christmas,Yaroslav Hrytsak and Nadiyka Gerbish,9781408728413,-1,1,"Food History and Scholarship Books, Home Baking & Dessert Books, International & Ethnic Cookbooks, Single Subject",backorder
gid://shopify/Product/7073030733957,Uses for Obsession: A Chef's Memoir,Ben Shewry,9781922616845,-1,1,Good Reads,backorder
gid://shopify/Product/7087412183173,Sankaku Vol. 2: Ramen (Standard Edition),Sankaku Editors,Sankaku 2,-1,2,"Periodicals, Limited Editions",backorder
gid://shopify/Product/7113772990597,A Child of the Rice Fields: Recipes from Noi's Lao Kitchen,"Ponpailin ""Noi"" Kaewduangdee and Mick Shippen",9789932012176,-2,2,"International & Ethnic Cookbooks, Books Our Customers Love",backorder
gid://shopify/Product/7116593758341,"Salt, Sugar, MSG: Recipes and Stories from a Cantonese American Home",Calvin Eng with Phoebe Melnick,9780593582084,-1,1,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",backorder
gid://shopify/Product/7131963162757,Original and Gourmet: Vegetables,ItaliaSquisita,9791281296176,-1,1,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",backorder
gid://shopify/Product/7161579700357,Something from Nothing,Alison Roman,9781984826411,-1,1,"Everyday Cooking, Books Our Customers Love",backorder
gid://shopify/Product/7161580060805,The Plant-Forward Handbook,"Frederic Jaunault, Luc Fontaine, and Jerome Leniaud",9782386220715,-1,1,"Professional Chef and Restaurant Books, Vegan and Vegetarian Cookbooks",backorder
gid://shopify/Product/7169020526725,Tastes and Traditions: A Journey Through Menu History,Nathalie Cooke,9781836390671,-2,2,Food History and Scholarship Books,backorder
gid://shopify/Product/7169021771909,A Rainbow Palate: How Chemical Dyes Changed the West's Relationship with Food,Carolyn Cobbold,9780226845531,-3,3,Food History and Scholarship Books,backorder
gid://shopify/Product/7203732357253,Nile Nightshade: An Egyptian Culinary History of the Tomato,Anny Gaul,9780520409149,-3,3,Food History and Scholarship Books,backorder
gid://shopify/Product/7205952454789,The Japanese Way of Whisky: Japan's Whiskies and How to Enjoy Them,Dave Broom,9781840919219,-1,1,Beverage Books,backorder
